Circuit: * C:\Users\maksym\source\repos\Dohle\String Maschine\simulations\Draft2.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 2.8394e-007 to 2.85065e-007
Heightened Def Con from 2.86003e-007 to 2.87003e-007
Heightened Def Con from 2.87004e-007 to 2.88129e-007
Heightened Def Con from 2.89067e-007 to 2.90068e-007
Heightened Def Con from 2.90068e-007 to 2.91193e-007
Heightened Def Con from 2.92132e-007 to 2.93132e-007
Heightened Def Con from 2.93133e-007 to 2.94258e-007
Heightened Def Con from 2.95196e-007 to 2.96196e-007
Heightened Def Con from 2.96197e-007 to 2.97322e-007
Heightened Def Con from 2.98261e-007 to 2.99261e-007
Heightened Def Con from 2.99261e-007 to 3.00386e-007
Heightened Def Con from 3.01325e-007 to 3.02325e-007
Heightened Def Con from 3.02326e-007 to 3.03451e-007
Heightened Def Con from 3.0439e-007 to 3.0539e-007
Heightened Def Con from 3.0539e-007 to 3.06515e-007
Heightened Def Con from 3.07454e-007 to 3.08454e-007
Heightened Def Con from 3.08455e-007 to 3.0958e-007
Heightened Def Con from 3.10519e-007 to 3.11519e-007
Heightened Def Con from 3.1152e-007 to 3.12645e-007
Heightened Def Con from 3.13583e-007 to 3.14583e-007
Heightened Def Con from 3.14584e-007 to 3.15709e-007
Heightened Def Con from 3.16648e-007 to 3.17648e-007
Heightened Def Con from 3.17649e-007 to 3.18774e-007
Heightened Def Con from 3.19712e-007 to 3.20713e-007
Heightened Def Con from 3.20713e-007 to 3.21838e-007
Heightened Def Con from 3.22777e-007 to 3.23777e-007
Heightened Def Con from 3.23778e-007 to 3.24903e-007
Heightened Def Con from 3.25842e-007 to 3.26842e-007
Heightened Def Con from 3.26843e-007 to 3.27968e-007
Heightened Def Con from 3.28906e-007 to 3.29907e-007
Heightened Def Con from 3.29907e-007 to 3.31032e-007
Heightened Def Con from 3.31971e-007 to 3.32971e-007
Heightened Def Con from 3.32972e-007 to 3.34097e-007
Heightened Def Con from 3.35036e-007 to 3.36036e-007
Heightened Def Con from 3.36036e-007 to 3.37161e-007
Heightened Def Con from 3.381e-007 to 3.39101e-007
Heightened Def Con from 3.39101e-007 to 3.40226e-007
Heightened Def Con from 3.41165e-007 to 3.42165e-007
Heightened Def Con from 3.42166e-007 to 3.43291e-007
Heightened Def Con from 3.4423e-007 to 3.4523e-007
Heightened Def Con from 3.45231e-007 to 3.46356e-007
Heightened Def Con from 3.47294e-007 to 3.48295e-007
Heightened Def Con from 3.48295e-007 to 3.4942e-007
Heightened Def Con from 3.50359e-007 to 3.51359e-007
Heightened Def Con from 3.5136e-007 to 3.52485e-007
Heightened Def Con from 3.53424e-007 to 3.54424e-007
Heightened Def Con from 3.54425e-007 to 3.5555e-007
Heightened Def Con from 3.56489e-007 to 3.57489e-007
Heightened Def Con from 3.5749e-007 to 3.58615e-007
Heightened Def Con from 3.59553e-007 to 3.60554e-007
Heightened Def Con from 3.60554e-007 to 3.61679e-007
Heightened Def Con from 3.62618e-007 to 3.63619e-007
Heightened Def Con from 3.63619e-007 to 3.64744e-007
Heightened Def Con from 3.65683e-007 to 3.66683e-007
Heightened Def Con from 3.66684e-007 to 3.67809e-007
Heightened Def Con from 3.68748e-007 to 3.69748e-007
Heightened Def Con from 3.69749e-007 to 3.70874e-007
Heightened Def Con from 3.71813e-007 to 3.72813e-007
Heightened Def Con from 3.72814e-007 to 3.73939e-007
Heightened Def Con from 3.74877e-007 to 3.75878e-007
Heightened Def Con from 3.75878e-007 to 3.77003e-007
Heightened Def Con from 3.77942e-007 to 3.78943e-007
Heightened Def Con from 3.78943e-007 to 3.80068e-007
Heightened Def Con from 3.81007e-007 to 3.82007e-007
Heightened Def Con from 3.82008e-007 to 3.83133e-007
Heightened Def Con from 3.84072e-007 to 3.85072e-007
Heightened Def Con from 3.85073e-007 to 3.86198e-007
Heightened Def Con from 3.87137e-007 to 3.88137e-007
Heightened Def Con from 3.88138e-007 to 3.89263e-007
Heightened Def Con from 3.90202e-007 to 3.91202e-007
Heightened Def Con from 3.91202e-007 to 3.92327e-007
Heightened Def Con from 3.93266e-007 to 3.94267e-007
Heightened Def Con from 3.94267e-007 to 3.95392e-007
Heightened Def Con from 3.96331e-007 to 3.97332e-007
Heightened Def Con from 3.97332e-007 to 3.98457e-007
Heightened Def Con from 3.99396e-007 to 4.00396e-007
Heightened Def Con from 4.00397e-007 to 4.01522e-007
Heightened Def Con from 4.02461e-007 to 4.03461e-007
Heightened Def Con from 4.03468e-007 to 4.04468e-007
Heightened Def Con from 4.04469e-007 to 4.05594e-007
Heightened Def Con from 4.06505e-007 to 4.07505e-007
Heightened Def Con from 4.07506e-007 to 4.08631e-007
Heightened Def Con from 4.09544e-007 to 4.10544e-007
Heightened Def Con from 4.10545e-007 to 4.1167e-007
Heightened Def Con from 4.12582e-007 to 4.13582e-007
Heightened Def Con from 4.13583e-007 to 4.14708e-007
Heightened Def Con from 4.15622e-007 to 4.16622e-007
Heightened Def Con from 4.16623e-007 to 4.17748e-007
Heightened Def Con from 4.18663e-007 to 4.19664e-007
Heightened Def Con from 4.19664e-007 to 4.20789e-007
Heightened Def Con from 4.21706e-007 to 4.22706e-007
Heightened Def Con from 4.22707e-007 to 4.23832e-007
Heightened Def Con from 4.2475e-007 to 4.2575e-007
Heightened Def Con from 4.2575e-007 to 4.26875e-007
Heightened Def Con from 4.27794e-007 to 4.28795e-007
Heightened Def Con from 4.28795e-007 to 4.2992e-007
Heightened Def Con from 4.3084e-007 to 4.31841e-007
Heightened Def Con from 4.31841e-007 to 4.32966e-007
Heightened Def Con from 4.33887e-007 to 4.34888e-007
Heightened Def Con from 4.34888e-007 to 4.36013e-007
Heightened Def Con from 4.36935e-007 to 4.37936e-007
Heightened Def Con from 4.37936e-007 to 4.39061e-007
